"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Digital Twin Robotic System With Continuous Learning for Grasp Detection in Variable Scenes","L. Ren; J. Dong; D. Huang; J. Lü","School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China",IEEE Transactions on Industrial Electronics,"12 Apr 2024","2024","71","7","7650","7660","With the emergence of digitalization technology, digital twin bridges the gap between physical and virtual worlds in industrial production with synchronization, reliability, and fidelity. The manufacturing process of complex products needs multiple working procedures, where novel industrial parts occur, causing scenes to be variable for robots to perceive and grasp. Due to the geometric difference among objects in various categories, it is significant to empower robotic systems with the capability of continuous learning for grasp detection in variable scenes. Therefore, a digital twin robotic system is proposed to realize bidirectional real-time data interaction and synchronization in the physical and virtual worlds. In this digital twin robotic system, a synthetic grasp detection dataset composed of industrial parts is built for an industrial grasping task. Besides, a novel deep learning method, adaptive spatial-awareness grasp network with a novel cc, is proposed to realize end-to-end 7-DoF grasp detection for industrial objects. In addition, a continuous learning strategy is proposed for 7-DoF grasp pose detection without catastrophic forgetting in variable scenes. Experiments in both virtual and physical worlds have demonstrated the effectiveness of our method for potential industrial implementation, and the average grasping success rate reaches 91% and 88% for novel objects in the virtual and physical worlds, respectively.","1557-9948","","10.1109/TIE.2023.3299049","National Natural Science Foundation of China(grant numbers:62225302,92167108,62173023); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10214976","Continuous learning;digital twin;grasp detection;industrial intelligence;robotic vision system","Robots;Digital twins;Service robots;Production;Grasping;6-DOF;Synchronization","","21","","20","IEEE","11 Aug 2023","July 2024","","IEEE","IEEE Journals"
"Interactive Virtual Ankle Movement Controlled by Wrist sEMG Improves Motor Imagery: An Exploratory Study","Y. Xiao; H. Bai; Y. Gao; B. Hu; J. Zheng; X. Cai; J. Rao; X. Li; A. Hao","School of Biological Science and Medical Engineering, Beijing Key Laboratory for Biomaterials and Neural Regeneration, Beijing Advanced Innovation Center for Biomedical Engineering, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; Beijing Children's Hospital, Capital Medical University, Beijing, China; Department of Rehabilitation Medicine, Beijing Haidian Hospital, Beijing, China; School of Biological Science and Medical Engineering, Beijing Key Laboratory for Biomaterials and Neural Regeneration, Beijing Advanced Innovation Center for Biomedical Engineering, Beihang University, Beijing, China; School of Biological Science and Medical Engineering, Beijing Key Laboratory for Biomaterials and Neural Regeneration, Beijing Advanced Innovation Center for Biomedical Engineering, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China",IEEE Transactions on Visualization and Computer Graphics,"1 Jul 2024","2024","30","8","5507","5524","Virtual reality (VR) techniques can significantly enhance motor imagery training by creating a strong illusion of action for central sensory stimulation. In this article, we establish a precedent by using surface electromyography (sEMG) of contralateral wrist movement to trigger virtual ankle movement through an improved data-driven approach with a continuous sEMG signal for fast and accurate intention recognition. Our developed VR interactive system can provide feedback training for stroke patients in the early stages, even if there is no active ankle movement. Our objectives are to evaluate: 1) the effects of VR immersion mode on body illusion, kinesthetic illusion, and motor imagery performance in stroke patients; 2) the effects of motivation and attention when utilizing wrist sEMG as a trigger signal for virtual ankle motion; 3) the acute effects on motor function in stroke patients. Through a series of well-designed experiments, we have found that, compared to the 2D condition, VR significantly increases the degree of kinesthetic illusion and body ownership of the patients, and improves their motor imagery performance and motor memory. When compared to conditions without feedback, using contralateral wrist sEMG signals as trigger signals for virtual ankle movement enhances patients’ sustained attention and motivation during repetitive tasks. Furthermore, the combination of VR and feedback has an acute impact on motor function. Our exploratory study suggests that the sEMG-based immersive virtual interactive feedback provides an effective option for active rehabilitation training for severe hemiplegia patients in the early stages, with great potential for clinical application.","1941-0506","","10.1109/TVCG.2023.3294342","National Natural Science Foundation of China(grant numbers:62002010,31970970,82271403); Beijing Advanced Innovation Center for Biomedical Engineering(grant numbers:ZF138G1714); CAMS Innovation Fund for Medical Sciences(grant numbers:2019-I2M-5-016); Beijing Science and Technology Project(grant numbers:Z221100007722001); Huawei Innovation Research Plan(grant numbers:TC20220616019); Key Research and Development Program of Guangzhou(grant numbers:202206060003); Open Project Program of State Key Laboratory of Virtual Reality Technology and Systems(grant numbers:VRLAB2023A05); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10178041","VR-based stroke rehabilitation training;motor imagery;sEMG-based virtual feedback","Training;Stroke (medical condition);Wrist;Muscles;Legged locomotion;Biological system modeling;Real-time systems","Ankle;Wrist;Imagination;Virtual Reality;Electromyography;Stroke Rehabilitation;Kinesthesis;Movement;User-Computer Interface;Signal Processing, Computer-Assisted;Humans;Male;Female;Young Adult;Adult;Motion Perception","9","","79","IEEE","11 Jul 2023","Aug. 2024","","IEEE","IEEE Journals"
"Temporal Characterization and Prediction of VR Traffic: A Network Slicing Use Case","F. Chiariotti; M. Drago; P. Testolina; M. Lecci; A. Zanella; M. Zorzi","Department of Information Engineering, University of Padova, Padua, Italy; Department of Information Engineering, University of Padova, Padua, Italy; Department of Information Engineering, University of Padova, Padua, Italy; Department of Information Engineering, University of Padova, Padua, Italy; Department of Information Engineering, University of Padova, Padua, Italy; Department of Information Engineering, University of Padova, Padua, Italy",IEEE Transactions on Mobile Computing,"4 Apr 2024","2024","23","5","3890","3908","Over the past few years, the concept of Virtual Reality (VR) has attracted increasing interest thanks to its extensive industrial and commercial applications. Currently, the 3D models of the virtual scenes are generally stored in the VR visor itself, which operates as a standalone device. However, applications that entail multi-party interactions will likely require the scene to be processed by an external server and then streamed to the visors. However, the stringent Quality of Service (QoS) constraints imposed by the VR's interactive nature require Network Slicing (NS) solutions, for which profiling the traffic generated by the VR application is crucial. To this end, we collected more than 4 hours of traces in a real setup and analyzed their temporal correlation, focusing on the Constant Bit Rate (CBR) encoding mode, which should generate more predictable traffic streams. From the collected data, we then distilled two prediction models for future frame size, which can be instrumental in the design of dynamic resource allocation algorithms. Our results show that even the state-of-the-art H.264 CBR mode may have significant frame size fluctuations, impacting NS optimization. We then exploited the models to dynamically determine requirements in an NS scenario, providing the required QoS while minimizing resource usage.","1558-0660","","10.1109/TMC.2023.3282689","European Commission; Italian National Recovery and Resilience Plan of NextGenerationEU; Fondazione Cassa di Risparmio di Padova e Rovigo; National Institute of Standards and Technology(grant numbers:60NANB21D127); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10143749","Virtual reality;extended reality;traffic modeling;network slicing;resource provisioning","Streaming media;Resource management;Quality of service;Mobile computing;Predictive models;Analytical models;Solid modeling","","18","","62","CCBY","5 Jun 2023","May 2024","","IEEE","IEEE Journals"
"Efficient Radius Search for Adaptive Foveal Sizing Mechanism in Collaborative Foveated Rendering Framework","Y. Yang; C. Xie; L. Liu; P. H. W. Leong; S. L. Song","School of Electronics and Information Engineering, Harbin Institute of Technology, Harbin, China; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Electronics and Information Engineering, Harbin Institute of Technology, Harbin, China; School of Electrical and Information Engineering, The University of Syndey, Sydney, NSW, Australia; School of Computer Science, The University of Syndey, Sydney, NSW, Australia",IEEE Transactions on Mobile Computing,"4 Apr 2024","2024","23","5","3620","3632","Collaborative Foveated Rendering (CFR) is the latest collaborative rendering framework proposed to enable high frame rate VR applications on mobile devices. Compared with the strategies adopted in conventional collaborative rendering, the pixel-based Adaptive Foveal Sizing (AFS) mechanism in CFR offers a more flexible and intelligent workload trade-off by predicting the radius. However, the performance of the AFS mechanism in actual deployment depends on its adaptability to two factors, including the Sudden Environmental Variations (SEV) and the Random Discrete Latency (RDL). Guaranteeing the performance of the AFS mechanism by adapting to these two factors is of great significance to guaranteeing users’ immersive experience. This paper identifies the existence of the SEV and RDL phenomenon in the AFS mechanism for the first time, and contributes the first method that offers the effective and real-time AFS mechanism implementation for the practical deployment, namely the Efficient Radius Search (ERS). The ERS method efficiently searches the largest radius online that controls the rendering workload within the foveated layer just below the offline baked threshold, thereby achieving the immediate response to SEV and reducing the oscillating frame rendering latency led by RDL. Through the experiments on 3 open-source mobile VR applications and 4 mobile devices with representative SoCs, the resulting 2.44 × to 9.07 × higher frame rate precision compared with the state-of-the-art method demonstrate the superiority of the ERS method.","1558-0660","","10.1109/TMC.2023.3277577","Future System Architecture Lab; University of Sydney; Sino-German Joint Software Institute, Beihang University; Automatic Test and Control Institute; Harbin Institute of Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10144285","Mobile devices;virtual reality;collaborative foveated rendering;untethered","Rendering (computer graphics);Mobile handsets;Collaboration;Servers;Cloud computing;Real-time systems;Performance evaluation","","8","","47","IEEE","5 Jun 2023","May 2024","","IEEE","IEEE Journals"
"Deep Learning-Aided QoE Prediction for Virtual Reality Applications Over Open Radio Access Networks","G. Kougioumtzidis; A. Vlahov; V. K. Poulkov; P. I. Lazaridis; Z. D. Zaharis","Department of Communication Networks, Technical University of Sofia, Sofia, Bulgaria; Intelligent Communication Infrastructure Laboratory, Sofia Tech Park, Sofia, Bulgaria; Department of Communication Networks, Technical University of Sofia, Sofia, Bulgaria; School of Computing and Engineering, University of Huddersfield, Huddersfield, U.K; School of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece",IEEE Access,"25 Dec 2023","2023","11","","143514","143529","Nowadays, innovative applications in the field of virtual reality (VR) are being developed, attracting the interest of both academia and industry. Wireless VR applications focus on various aspects of daily life, such as smart education, entertainment, healthcare, tourism, architecture, automotive, and industrial automation. All these inherently interactive applications that aim to create immersive experiences for users are closely related to the concept of quality of experience (QoE), which expresses the quality of a service as perceived by end-users. In this paper, we develop an objective QoE prediction model based on deep learning techniques. The prediction model examines the impact of wireless network operation on the quality of VR 360-degree video streaming. It is based on an encoder-decoder long short-term memory (LSTM) neural network and is able to predict in real-time the overall transmission-related QoE value using only measurable quality of service (QoS) parameters. The prediction model is tested and evaluated on an open radio access network testbed with interfaces based on the O-RAN specifications.","2169-3536","","10.1109/ACCESS.2023.3343846","European Union, through the Horizon 2020 Marie Skłodowska-Curie Innovative Training Networks Programme “Mobility and Training for beyond 5G Ecosystems (MOTOR5G)”(grant numbers:861219); “Intelligent Communication Infrastructure Laboratory” at Sofia Tech Park, Sofia, Bulgaria; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10363177","Deep learning;deep neural network (DNN);long short-term memory (LSTM);open radio access network (Open RAN);quality of experience (QoE);QoE prediction;recurrent neural network (RNN);virtual reality (VR)","Quality of experience;Streaming media;Predictive models;Solid modeling;Quality of service;Radio access networks;Measurement","","10","","50","CCBY","18 Dec 2023","2023","","IEEE","IEEE Journals"
"“If It’s Not Me It Doesn’t Make a Difference” - The Impact of Avatar Personalization on user Experience and Body Awareness in Virtual Reality","N. Döllinger; M. Beck; E. Wolf; D. Mal; M. Botsch; M. E. Latoschik; C. Wienrich","PIIS Group, University of Würzburg, Germany; PIIS Group, University of Würzburg, Germany; HCI Group, University of Würzburg, Germany; HCI Group, University of Würzburg, Germany; Computer Graphics Group, TU Dortmund University, Germany; HCI Group, University of Würzburg, Germany; PIIS Group, University of Würzburg, Germany",2023 IEEE International Symposium on Mixed and Augmented Reality (ISMAR),"4 Dec 2023","2023","","","483","492","Body awareness is relevant for the efficacy of psychotherapy. However, previous work on virtual reality (VR) and avatar-assisted therapy has often overlooked it. We investigated the effect of avatar individualization on body awareness in the context of VR-specific user experience, including sense of embodiment (SoE), plausibility, and sense of presence (SoP). In a between-subject design, 86 participants embodied three avatar types and engaged in VR movement exercises. The avatars were (1) generic and gender-matched, (2) customized from a set of pre-existing options, or (3) personalized photorealistic scans. Compared to the other conditions, participants with personalized avatars reported increased SoE, yet higher eeriness and reduced body awareness. Further, SoE and SoP positively correlated with body awareness across conditions. Our results indicate that VR user experience and body awareness do not always dovetail and do not necessarily predict each other. Future research should work towards a balance between body awareness and SoE.","2473-0726","979-8-3503-2838-7","10.1109/ISMAR59233.2023.00063","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316447","Virtual reality;embodiment;personalization;body awareness;virtual body ownership;avatars;user experience;Human-centered computing;Empirical studies in HCI;Usability testing","Avatars;Medical treatment;User experience;Augmented reality;Testing","","13","","81","CCBY","4 Dec 2023","16-20 Oct. 2023","16-20 Oct. 2023","IEEE","IEEE Conferences"
"A Survey on Optimizing Mobile Delivery of 360° Videos: Edge Caching and Multicasting","M. Mahmoud; S. Rizou; A. S. Panayides; N. V. Kantartzis; G. K. Karagiannidis; P. I. Lazaridis; Z. D. Zaharis","Research and Development Department, Singular Logic, Athens, Greece; Research and Development Department, Singular Logic, Athens, Greece; VIDEOMICS Group, CYENS Centre of Excellence, Nicosia, Cyprus; School of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece; School of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece; School of Computing and Engineering, University of Huddersfield, Huddersfield, U.K; School of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece",IEEE Access,"13 Jul 2023","2023","11","","68925","68942","Recently, there has been an ever-growing demand for virtual reality (VR) and 360° video applications. Different from conventional 2D videos, 360° videos take users into an immersive experience by providing them with a navigable panoramic view. However, achieving adequate quality of experience (QoE) levels poses significant network challenges, especially in mobile delivery setups. Despite the tremendous improvements offered by 5G and beyond mobile networks, streaming 360° videos in a similar fashion to 2D videos is suboptimal, while scaling at high numbers questions the feasibility of the endeavor. This paper explores the utilization of caching and multicasting solutions for the mobile delivery of VR and 360° videos. First, an overview of immersive technologies and their distinctive characteristics is provided. Then, we discuss the network challenges associated with 360° videos and the role of implementing robust caching and multicasting schemes that exploit the unique features of 360° videos and capitalize on the correlations among end-users’ viewports. Having established the foundations and challenges of 360° video streaming, we continue with a comparison of the state-of-the-art literature, while focusing on video streaming optimization aspects. We conclude our work by discussing the status and future research directions.","2169-3536","","10.1109/ACCESS.2023.3292335","European Union through the Horizon 2020 Marie Skłodowska-Curie Innovative Training Networks Program “Mobility and Training for Beyond 5G Ecosystems (MOTOR5G)”(grant numbers:861219); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10175638","Edge caching;multi-access edge computing (MEC);multicast;optimization;video streaming;VR;360° videos","Videos;Surveys;Multicast communication;Streaming media;Optimization;Quality of experience;5G mobile communication;Cache storage;Edge computing","","27","","136","CCBYNCND","7 Jul 2023","2023","","IEEE","IEEE Journals"
"Altering Time Perception in Virtual Reality Through Multimodal Visual-Tactile Kappa Effect","Y. De-Pra; V. Catrambone; V. van-Wassenhove; A. Moscatelli; G. Valenza; M. Bianchi","“E. Piaggio” Research Center, University of Pisa, Pisa, Italy; “E. Piaggio” Research Center and the Department of Information Engineering (DII), University of Pisa, Pisa, Italy; CEA DRF/Joliot, NeuroSpin; INSERM, Cognitive Neuroimaging Unit, Université Paris-Saclay, Gif-Sur-Yvette, France; Department of Systems Medicine and Centre of Space Bio-Medicine, University of Rome “Tor Vergata”, Rome, Italy; “E. Piaggio” Research Center and the Department of Information Engineering (DII), University of Pisa, Pisa, Italy; “E. Piaggio” Research Center and the Department of Information Engineering (DII), University of Pisa, Pisa, Italy",IEEE Transactions on Haptics,"21 Dec 2023","2023","16","4","518","523","The perception of time is highly subjective and intertwined with space perception. In a well-known perceptual illusion, called Kappa effect, the distance between consecutive stimuli is modified to induce time distortions in the perceived inter-stimulus interval that are proportional to the distance between the stimuli. However, to the best of our knowledge, this effect has not been characterized and exploited in virtual reality (VR) within a multisensory elicitation framework. This paper investigates the Kappa effect elicited by concurrent visual-tactile stimuli delivered to the forearm, through a multimodal VR interface. This paper compares the outcomes of an experiment in VR with the results of the same experiment performed in the “physical world”, where a multimodal interface was applied to participants' forearm to deliver controlled visual-tactile stimuli. Our results suggest that a multimodal Kappa effect can be elicited both in VR and in the physical world relying on concurrent visual-tactile stimulation. Moreover, our results confirm the existence of a relation between the ability of participants in discriminating the duration of time intervals and the magnitude of the experienced Kappa effect. These outcomes can be exploited to modulate the subjective perception of time in VR, paving the path toward more personalised human-computer interaction.","2329-4051","","10.1109/TOH.2023.3270639","European Commission H2020 Framework Programme(grant numbers:101017727); Italian Ministry of Education and Research(grant numbers:PRIN 2017,818 2017SB48FP); Dipartimenti di Eccellenza; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10109150","Subjective time perception;kappa effect;multimodal visual-tactile perception and interfaces;virtual reality","Visualization;Resists;Accelerometers;Wearable computers;Protocols;Haptic interfaces;Virtual reality","Humans;Touch Perception;Time Perception;Touch;Illusions;Virtual Reality","6","","38","CCBY","26 Apr 2023","Oct.-Dec. 2023","","IEEE","IEEE Journals"
"Teaching EFL With Immersive Virtual Reality Technologies: A Comparison With the Conventional Listening Method","B. Peixoto; L. C. P. Bessa; G. Gonçalves; M. Bessa; M. Melo","Department of Engineering, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; Polytechnic Institute of Porto, Porto, Portugal; Department of Engineering, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; Department of Engineering, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal",IEEE Access,"7 Mar 2023","2023","11","","21498","21507","This paper investigates the impact of different immersive Virtual Reality (iVR) technological approaches in teaching and learning English as a Foreign Language (EFL). Specifically, this paper explores the passive iVR and interactive iVR in a real authentic learning context as didactic possibilities compared to the conventional method of listening, consisting of audio-only listening exercises. The study was conducted using university students of B1 level EFL classes. The dependent variables considered in the study were Knowledge Retention, Presence, User Satisfaction, Cybersickness, and Preferred Technology. Results indicated that users showed significant satisfaction and preference for using this technology for learning, revealing enjoyment and motivation which are vital factors when learning a foreign language. However, no significant differences were found between learning via traditional listening exercises or the virtual system. Correlation tests were conducted between the questionnaire subscales to understand better which elements can influence learning. The study concludes that using iVR-based learning tools to learn a foreign language as an alternative to audio listening can only produce a broader positive impact and greater motivation. The results also suggest that iVR can be a valuable tool in the education field for knowledge transfer and motivation when learning foreign languages.","2169-3536","","10.1109/ACCESS.2023.3249578","National Funds through the Portuguese Funding Agency, Fundação para a Ciência e a Tecnologia (FCT)(grant numbers:LA/P/0063/2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10054011","Immersive virtual reality;education;foreign language education;virtual environments","Virtual reality;Games;Costs;Avatars;Knowledge transfer;Headphones;Cybersickness;Education;Natural languages","","28","","52","CCBY","27 Feb 2023","2023","","IEEE","IEEE Journals"
"QoE-Oriented Open Radio Access Networks for Virtual Reality Applications","G. Kougioumtzidis; A. Vlahov; V. Poulkov; Z. Zaharis; P. Lazaridis","Faculty of Telecommunications, Technical University of Sofia, Sofia, Bulgaria; Faculty of Telecommunications, Technical University of Sofia, Sofia, Bulgaria; Faculty of Telecommunications, Technical University of Sofia, Sofia, Bulgaria; School of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece; School of Computing and Engineering, University of Huddersfield, Huddersfield, United Kingdom",2022 25th International Symposium on Wireless Personal Multimedia Communications (WPMC),"20 Jan 2023","2022","","","491","496","Open radio access network (O-RAN) technology shows that it has the potential to drastically change the ecosystem of the mobile networks. O-RAN is built on the pillars of openness and intelligence, and is able to provide programmable, flexible, and energy-efficient wireless communication services. Its enhanced architecture, which is capable of providing customized services, can act as an enabler for a range of emerging technologies with highly demanding network requirements, such as wireless virtual reality (VR) applications. This paper presents an overview of the O-RAN technology, analyzes its architecture and fundamental principles, and examines its main optimization operations. Moreover, it investigates the specific aspects of implementing VR applications over O-RAN, and emphasizes the importance of quality of experience (QoE) in the development of such inherently immersive and interactive applications. Finally, it analyzes the significance of artificial intelligence and machine learning methodologies in embedding QoE-driven operations in O-RAN architecture.","1882-5621","978-1-6654-7318-7","10.1109/WPMC55625.2022.10014946","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10014946","open radio access network (O-RAN);quality of experience (QoE);virtual reality (VR)","Wireless communication;Solid modeling;Ecosystems;Virtual reality;Machine learning;Energy efficiency;Quality of experience;Multimedia communication;Optimization;Radio access networks","","3","","32","IEEE","20 Jan 2023","30 Oct.-2 Nov. 2022","30 Oct.-2 Nov. 2022","IEEE","IEEE Conferences"
"Virtual library in the concept of digital twin","N. Iakovides; A. Lazarou; P. Kyriakou; A. Aristidou","Department of Computer Science, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, University of Cyprus, Nicosia, Cyprus; Mirror 3D Lab Ltd, CYENS Centre of Excellence, Nicosia, Cyprus; Department of Computer Science, University of Cyprus, Nicosia, Cyprus","2022 International Conference on Interactive Media, Smart Systems and Emerging Technologies (IMET)","2 Nov 2022","2022","","","1","8","With the technological advancements and the widespread adoption of the internet, the physical library has lost its role as the main resource of information. As the Metaverse is becoming more and more apparent, a revolutionary change is expected in how we understand social relationships and consequently, education. It is therefore necessary for libraries to upgrade the services they provide to keep in line with the technological trends and be a part of this virtual revolution. We believe that the design and development of a Virtual Reality (VR) library can be the community and knowledge hub the society needs. In this paper we go through the process of creating a digital twin of the Limassol Municipal University Library, a landmark for the city of Limassol, by using photogrammetry and 3D modelling. By integrating the concept of digital twin, we developed a 3D platform where users have the perception that they are exhibiting the actual library. To do so, we conducted a perceptual study to understand the current usage of physical libraries, examine the users' experience in VR, and identify the requirements and expectations in the development of a virtual library counterpart. Following the suggestions and observations of our user study, we implemented five common case scenarios that demonstrate a potential use of a virtual library.","","978-1-6654-7016-2","10.1109/IMET54801.2022.9929598","University of Cyprus(grant numbers:DEMONSTRATION); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9929598","Virtual Library;Digital libraries and archives;Metaverse;Virtual Reality;Digital Twin","Three-dimensional displays;Metaverse;Urban areas;Virtual reality;Media;Market research;Libraries","","9","","39","IEEE","2 Nov 2022","4-7 Oct. 2022","4-7 Oct. 2022","IEEE","IEEE Conferences"
"Virtual Reality e-Commerce: Contextualization and Gender Impact on User Memory and User Perception of Functionalities and Size of Products","G. Gonçalves; G. Meirinhos; V. Filipe; M. Melo; M. Bessa","Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; Department of Letters, Arts and Communication, University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal",IEEE Access,"12 Sep 2022","2022","10","","92491","92504","Virtual reality (VR) potential to isolate users from the real world while producing a rich virtual environment where users act similarly to how they would, in reality, is still being investigated in several fields. In this work, we investigated the effects of product contextualisation and gender under an immersive VR application where users can explore in-depth a commercial product with a “hands-on” experience. An experimental between-subjects study was performed with 38 participants between 18 and 28 years. The product tested consisted of a double-door refrigerator equipped with a touchscreen. Two independent variables were studied: Context (the refrigerator was filled with food products and placed in a kitchen), Neutral Context (empty refrigerator displayed in an empty white room), and Gender (Female and Male). As for the dependent variables, we considered how clarified users felt about the product functionalities, its size, the extent users remember details and characteristics of the refrigerator, and the user’s subjective workload. The evidence shows that contextualisation and gender have no impact on any dependent variables. Therefore, we concluded that presenting a product in its context does not benefit significantly benefit it. Thus, opting for a neutral context would be preferable to save computational costs and human resources necessary to build and run the higher complexity environments required to contextualise the product.","2169-3536","","10.1109/ACCESS.2022.3198957","National and European Funds through the Portuguese Funding Agency FCT—Fundação para a Ciência e a Tecnologia(grant numbers:SFRH/BD/148714/2019); National Funds through the Portuguese Funding Agency FCT—Fundação para a Ciência e a Tecnologia(grant numbers:UIDB/50014/2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857855","Virtual reality;immersive;context;gender;user perception;product evaluation;memory","Headphones;Electronic commerce;Virtual reality;Virtual environments;Three-dimensional displays;Real-time systems;Uncertainty;Product design;Performance evaluation;Memory;Context awareness","","6","","77","CCBY","16 Aug 2022","2022","","IEEE","IEEE Journals"
"Using Virtual Reality to Demonstrate and Promote Products: The Effect of Gender, Product Contextualization and Presence on Purchase Intention and User Satisfaction","G. Meirinhos; G. Gonçalves; M. Melo; M. Bessa","Department of Letters, Arts and Communication, University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; Department of Engineering, University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; Department of Engineering, University of Trás-os-Montes e Alto Douro, Vila Real, Portugal",IEEE Access,"9 Jun 2022","2022","10","","58811","58820","Virtual Reality (VR) and its capability to replace real stimuli for synthesized ones as if they were real opened several research lines over the years. Many of those consist of trying to validate whether or not VR replicates the same user behaviours seen in reality. In this study, we investigated whether or not product contextualization and gender could influence users’ intention to purchase as well as their satisfaction with the application and how presence levels correlate with purchase intention and user satisfaction. The product tested was a double door refrigerator with a touchscreen. We considered two independent variables: Contextualization (Context - The refrigerator was displayed in a kitchen and filled with food products and Neutral - The refrigerator was empty and displayed in an empty room) and gender (male and female). The results indicated that contextualization and gender had no effective impact on purchase intention, user satisfaction with the VR experience nor the sense of presence. A positive correlation was found between presence and user satisfaction. Evidence indicates that it is not necessary to represent products in their context, saving computational power and human resources.","2169-3536","","10.1109/ACCESS.2022.3178371","National Funds through the Portuguese funding agency, FCT—Fundação para a Ciência e a Tecnologia(grant numbers:LA/P/0063/2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9783107","Virtual reality;immersive;context;gender;user perception;purchase intention;product evaluation","Virtual environments;Electronic commerce;Visualization;Virtual reality;Three-dimensional displays;Real-time systems;Product design","","14","","44","CCBY","27 May 2022","2022","","IEEE","IEEE Journals"
